,House Name,Location,ImgURL,Price
0,1 Bed Apartment with En Suite in Kilimani,Spacious Apartments For Sale,https://i.roamcdn.net/prop/brk/listing-thumb-376w/b7961d26f89a22649244ce4aefda4a3a/-/prod-property-core-backend-media-brk/6300720/bb56359c-f8b0-45ff-a52e-3198f1c59d2b.jpg,"KSh 6,800,000"
1,3 Bed Apartment with Backup Generator at Riverside Drive,ELEGANT 2 & 3 BEDROOM APARTMENTS,https://i.roamcdn.net/prop/brk/listing-thumb-376w/08a6a4e6199381e5fce85f9ebbda125e/-/prod-property-core-backend-media-brk/6084447/6a5e1f27-7d33-415b-b498-2bba6319155d.jpg,"KSh 31,000,000"
2,3 Bed Apartment with En Suite at Nyeri Road,3 BEDROOM ALL ENSUITE FOR SALE,https://i.roamcdn.net/prop/brk/listing-thumb-376w/46f3309fee90437677685a8268af8525/-/prod-property-core-backend-media-brk/6533874/fc573f6a-217e-4c71-94b9-3719b699f3ab.jpeg,"KSh 12,800,000"
3,3 Bed Apartment with En Suite at Shanzu,3 bedroom sea view apartment on sale Shanzu Mom ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/59b50577657570b3fa98d3e9672e6297/-/prod-property-core-backend-media-brk/6317627/988eaa5f-1721-48a9-b80f-4867f597f1b2.JPG,"KSh 17,000,000"
4,3 Bed Apartment with En Suite at Nyali,3 bedroom apartment beach side on going project ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/b2c350dd6cec710741a3a64c605c984f/-/prod-property-core-backend-media-brk/6411562/c7abef0b-ca75-4759-9bac-a0497f94af16.jpg,"KSh 40,000,000"
5,2 Bed Apartment with En Suite in Nyali Area,"PEARL CITY APARTMENTS, NYALI",https://i.roamcdn.net/prop/brk/listing-thumb-376w/7675ed05266ed3783f3426bf525a9b9e/-/prod-property-core-backend-media-brk/6693321/bbab804f-34b6-4c34-a0d6-f52e49957778.jpg,"KSh 7,750,000"
6,3 Bed Apartment with En Suite in Nyali Area,BEAUTIFUL BRAND NEW 3 BEDROOM APARTMENT FOR SAL ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/69df16bc400cfe5979608395c0ca7401/-/prod-property-core-backend-media-brk/6693269/5398bb5b-d1f5-44f6-a226-9b388b14e531.jpg,"KSh 16,000,000"
7,3 Bed Apartment with En Suite in Lavington,3 Bedroom apartment + SQ for sale,https://i.roamcdn.net/prop/brk/listing-thumb-376w/31eb0881663f90539edd4d8b938d15f7/-/prod-property-core-backend-media-brk/6693157/bd75c17b-5930-4a7b-80c5-e85e709a8364.jpeg,"KSh 21,000,000"
8,Serviced 2 Bed Apartment with En Suite in Parklands,Fully Furnished and serviced apartment for sale ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/94dcc424d5923aca3a46f9375bdc5818/-/prod-property-core-backend-media-brk/6693079/fa79f096-5e38-41e7-9423-faed7ba1d8f1.jpg,"KSh 13,000,000"
9,1 Bed Apartment with Backup Generator in Riverside,One bedroom apartment at Riverside for sale,https://i.roamcdn.net/prop/brk/listing-thumb-376w/4f23eafdf6a2bdc948b498431365b6ec/-/prod-property-core-backend-media-brk/6693077/eae230ff-db55-4080-ac44-413f8e1d4d91.jpg,"KSh 6,000,000"
10,3 Bed Apartment with En Suite in Kileleshwa,3 bed + dsq,https://i.roamcdn.net/prop/brk/listing-thumb-376w/0d88d23afb40cf97287d8024bfe8a1e0/-/prod-property-core-backend-media-brk/6693008/efed0f98-f952-419b-bc0a-117ddce61ba9.jpg,"KSh 19,000,000"
11,2 Bed Apartment with En Suite in Kilimani,KILIMANI ZONE TWO BEDROOM APARTMENT(135SQM) FOR ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/9c0b56960b799333c8cc969ed22324d6/-/prod-property-core-backend-media-brk/6692946/27d70c5b-d049-4bd3-9aa0-a4b6628571d1.jpeg,"KSh 11,500,000"
12,2 Bed Apartment with En Suite in Kileleshwa,2 bedroom apartment for sale in Kileleshwa (Ken ...,https://i.roamcdn.net/prop/brk/listing-thumb-376w/f9e30642c3493759f2d0668cf55d2437/-/prod-property-core-backend-media-brk/6692877/b4562972-fe47-43db-a38d-b3dbd54b2cfd.jpg,"KSh 13,800,000"
